File Branch_Vertices Time Verification Média_Grau_BV Branch_Vertices2 Time2 Verification2 Média_Grau_BV2 Branch_Vertices3 Time3 Verification3 Média_Grau_BV3 
Instancias\Spd_RF2_100_114_1843.txt	 25	 0,0000000000	 True	 3,9200000763	 25	 0,0000000000	 True	 3,9200000763	 25	 0,0000000000	 True	 3,9200000763
Instancias\Spd_RF2_100_129_1851.txt	 20	 0,0000000000	 True	 3,9500000477	 20	 0,0000000000	 True	 3,9500000477	 18	 0,0000000000	 True	 4,2222223282
Instancias\Spd_RF2_100_129_1859.txt	 18	 0,0000000000	 True	 4,0000000000	 18	 0,0000000000	 True	 4,0000000000	 18	 0,0000000000	 True	 3,9444444180
Instancias\Spd_RF2_100_129_1867.txt	 21	 0,0000000000	 True	 4,0476188660	 21	 0,0000000000	 True	 4,0476188660	 18	 0,0000000000	 True	 4,2222223282
Instancias\Spd_RF2_100_129_1875.txt	 18	 0,0000000000	 True	 4,3888888359	 18	 0,0000000000	 True	 4,3888888359	 17	 0,0000000000	 True	 4,2941174507
Instancias\Spd_RF2_100_129_1883.txt	 17	 0,0000000000	 True	 4,4117646217	 17	 0,0000000000	 True	 4,4117646217	 15	 0,0000000000	 True	 4,5333333015
Instancias\Spd_RF2_100_144_1891.txt	 14	 0,0000000000	 True	 4,5714287758	 14	 0,0000000000	 True	 4,5714287758	 15	 0,0000000000	 True	 4,3333334923
Instancias\Spd_RF2_100_144_1899.txt	 14	 0,0000000000	 True	 4,0714287758	 14	 0,0000000000	 True	 4,0714287758	 12	 0,0000000000	 True	 4,3333334923
Instancias\Spd_RF2_100_144_1907.txt	 15	 0,0150000000	 True	 4,6666665077	 15	 0,0000000000	 True	 4,6666665077	 15	 0,0000000000	 True	 4,6666665077
Instancias\Spd_RF2_100_144_1915.txt	 12	 0,0000000000	 True	 4,4166665077	 12	 0,0000000000	 True	 4,3333334923	 11	 0,0000000000	 True	 4,4545454979
Instancias\Spd_RF2_100_144_1923.txt	 14	 0,0000000000	 True	 4,4285712242	 14	 0,0000000000	 True	 4,4285712242	 15	 0,0000000000	 True	 4,2666668892
Instancias\Spd_RF2_100_159_1931.txt	 14	 0,0000000000	 True	 4,1428570747	 14	 0,0000000000	 True	 4,1428570747	 11	 0,0000000000	 True	 4,3636364937
Instancias\Spd_RF2_100_159_1939.txt	 12	 0,0000000000	 True	 4,5833334923	 12	 0,0000000000	 True	 4,5833334923	 11	 0,0000000000	 True	 4,4545454979
Instancias\Spd_RF2_100_159_1947.txt	 12	 0,0150000000	 True	 4,1666665077	 12	 0,0000000000	 True	 4,1666665077	 8	 0,0000000000	 True	 4,6250000000
Instancias\Spd_RF2_100_159_1955.txt	 10	 0,0000000000	 True	 4,9000000954	 10	 0,0000000000	 True	 4,9000000954	 9	 0,0000000000	 True	 4,7777776718
Instancias\Spd_RF2_100_159_1963.txt	 13	 0,0000000000	 True	 4,3846154213	 13	 0,0000000000	 True	 4,3076925278	 12	 0,0000000000	 True	 4,5833334923
Instancias\Spd_RF2_100_174_1971.txt	 11	 0,0000000000	 True	 4,4545454979	 11	 0,0000000000	 True	 4,4545454979	 8	 0,0150000000	 True	 4,6250000000
Instancias\Spd_RF2_100_174_1979.txt	 11	 0,0000000000	 True	 3,9090909958	 11	 0,0000000000	 True	 3,9090909958	 9	 0,0000000000	 True	 4,2222223282
Instancias\Spd_RF2_100_174_1987.txt	 12	 0,0000000000	 True	 4,6666665077	 12	 0,0150000000	 True	 4,6666665077	 11	 0,0000000000	 True	 4,4545454979
Instancias\Spd_RF2_100_174_1995.txt	 11	 0,0000000000	 True	 5,0000000000	 11	 0,0000000000	 True	 4,9090909958	 9	 0,0000000000	 True	 5,2222223282
Instancias\Spd_RF2_100_174_2003.txt	 8	 0,0000000000	 True	 4,7500000000	 8	 0,0000000000	 True	 4,6250000000	 7	 0,0000000000	 True	 4,8571429253
Instancias\Spd_RF2_120_136_2211.txt	 31	 0,0000000000	 True	 4,0645160675	 31	 0,0000000000	 True	 4,0645160675	 31	 0,0000000000	 True	 4,0645160675
Instancias\Spd_RF2_120_136_2219.txt	 29	 0,0000000000	 True	 4,1379308701	 29	 0,0000000000	 True	 4,1379308701	 29	 0,0000000000	 True	 4,1379308701
